source_sectors,n
"Cabinet,Executive,Sunni,Foreign Ministry,Government,International Religious",6
"Cabinet,Finance / Economy / Commerce / Trade Ministry,Executive,Elite,Government,Science / Tech Ministry",6
"Cabinet,Government,Energy Ministry,Executive",6
"Cabinet,Government,Executive,Agriculture / Fishing / Forestry Ministry",6
"Cabinet,Government,Executive,Management / Budget / Planning / Organization Ministry,Provincial,Local",6
"Cabinet,Government,Women / Children / Social / Welfare / Development / Religion Ministry,Executive",6
"Cabinet,Legislative / Parliamentary,Government,Executive,Women / Children / Social / Welfare / Development / Religion Ministry,Elite,Lower House",6
"Catholic,Dissident,Insurgents,International Religious,Center Left,Ideological",6
"Catholic,Executive Office,Government,Executive,International Religious,Elite",6
"Catholic,Executive,Executive Office,Elite,International Religious,Government",6
"Catholic,International Religious,National Religious,Religious Majority,Social",6
"Center Left,Ideological,Unicameral,Government,Legislative / Parliamentary",6
"Center Right,Dissident,Insurgents,Ideological",6
"Charity NGOs,Foreign Ministry,Government,Executive,Cabinet,Nongovernmental Organizations / Activists",6
"Charity NGOs,Foreign Ministry,Government,Nongovernmental Organizations / Activists,Executive,Cabinet",6
"Chechen,Muslim,Social,Separatists,International Religious,Dissident,National Ethnic Minority,National Ethnic,International Ethnic",6
"Chechen,National Ethnic,Separatists,National Ethnic Minority,Muslim,International Religious,Dissident,Social,International Ethnic",6
"Chechen,Social,National Ethnic Minority,International Ethnic,National Ethnic,International Religious,Sufi",6
"Christian,Government,Defense / Security Ministry,Cabinet,Executive,Executive Office,International Religious,Interior / Home Ministry",6
"Christian,International Religious,Separatists,Dissident",6
"Communist,Criminals / Gangs,Ideological,Dissident",6
"Communist,Separatists,Dissident,Ideological",6
"Consulting / Financial Services Business,Business NGOs,Elite,Nongovernmental Organizations / Activists,Business,Government,Executive Office,Executive,Social",6
"Consulting / Financial Services Business,Elite,Business,Nongovernmental Organizations / Activists,Business NGOs,Social",6
"Consumer Goods MNCs,Multinational Corporation",6
"Criminals / Gangs,Sunni,Dissident,International Religious,Elite",6
"Defense / Security Ministry,Cabinet,Executive,Government,Interior / Home Ministry",6
"Defense / Security Ministry,Cabinet,Executive,Government,Military,Military Intelligence,Army Special Forces,Army",6
"Defense / Security Ministry,Elite,Cabinet,Executive,Government,Executive Office",6
"Defense / Security Ministry,Elite,Military,Government,Executive",6
"Defense / Security Ministry,Executive,Cabinet,Government,Elite",6
"Defense / Security Ministry,Executive,Cabinet,Government,Military",6
"Defense / Security Ministry,Executive,Government,Cabinet,Executive Office,Elite",6
"Defense / Security Ministry,Executive,Government,Interior / Home Ministry,Police",6
"Defense / Security Ministry,Executive,Ideological,Centrist,Government",6
"Defense / Security Ministry,Executive,Police,Interior / Home Ministry,Government",6
"Defense / Security Ministry,Government,Agriculture / Fishing / Forestry Ministry,Food Ministry,Military,International Religious,Transportation Ministry,Environment Ministry,Finance / Economy / Commerce / Trade Ministry,Muslim,Executive,Education Ministry,Elite,Water Ministry,Post / Tecoms Ministry",6
"Defense / Security Ministry,Government,Cabinet,Executive,Executive Office",6
"Defense / Security Ministry,Government,Cabinet,Executive,Interior / Home Ministry",6
"Defense / Security Ministry,Government,Executive Office,Executive,Elite",6
"Defense / Security Ministry,Government,Executive,Information / Communication / Transparency Ministry",6
"Defense / Security Ministry,Government,Legislative / Parliamentary,Executive",6
"Defense / Security Ministry,Government,Lower House,Executive,Legislative / Parliamentary,Elite",6
"Defense / Security Ministry,Interior / Home Ministry,Police,Executive,Government",6
"Defense / Security Ministry,Military,Government,Executive,Cabinet",6
"Defense / Security Ministry,Provincial,Cabinet,Government,Executive Office,Local,Elite,Executive",6
"Defense / Security Ministry,Sunni,Elite,Military,Executive Office,Government,Executive,International Religious",6
"Defense / Security Ministry,Women / Children / Social / Welfare / Development / Religion Ministry,Intelligence Ministry,Government,Executive",6
"Development NGOs,Executive Office,Nongovernmental Organizations / Activists,International Ethnic,Pashtun,Executive,International Religious,Muslim,Government",6
"Development NGOs,International Ethnic,Pashtun,Nongovernmental Organizations / Activists",6
"Disaster Ministry,Food Ministry,Executive,Government,Water Ministry",6
"Disaster Ministry,National Ethnic,Government,Cabinet,Executive,Social,National Ethnic Minority",6
"Dissident,Christian,Separatists,International Religious",6
"Dissident,Ideological,Tajik,International Ethnic,Elite,Nationalist,Insurgents",6
"Dissident,Ijaw,Nongovernmental Organizations / Activists,International Ethnic,Separatists,Ethnic NGOs,International Religious,Muslim",6
"Dissident,Insurgents,Hindu,International Religious,Radicals / Extremists / Fundamentalists",6
"Dissident,Insurgents,Nationalist,Elite,Tajik,International Ethnic,Ideological",6
"Dissident,Insurgents,Radicals / Extremists / Fundamentalists,International Religious,Hindu",6
"Dissident,Insurgents,Sunni,Ideological,Radicals / Extremists / Fundamentalists,Muslim,International Radicals / Extremists / Fundamentalists,International Religious,Fundamentalist,International Dissident,International Insurgents",6
"Dissident,Insurgents,Unidentified Forces,Far Right,Ideological",6
"Dissident,International Insurgents,International Religious,International Dissident,Sunni,International Radicals / Extremists / Fundamentalists,Radicals / Extremists / Fundamentalists",6
"Dissident,International Religious,Assyrian / Aramaic,Catholic,International Ethnic,Criminals / Gangs",6
"Dissident,International Religious,Buddhist,Separatists",6
"Dissident,International Religious,International Ethnic,Kashmiri,Muslim,Protestors / Popular Opposition / Mobs",6
"Dissident,International Religious,Sunni,Radicals / Extremists / Fundamentalists",6
"Dissident,International Terrorists,Separatists,International Dissident",6
"Dissident,Kashmiri,Protestors / Popular Opposition / Mobs,International Ethnic,Muslim,International Religious",6
"Dissident,Muslim,International Ethnic,Chechen,Separatists,International Religious",6
"Dissident,National Ethnic Majority,National Ethnic,International Ethnic,Separatists,Social",6
"Dissident,National Ethnic,Muslim,Separatists,National Ethnic Minority,Chechen,Social,International Religious,International Ethnic",6
"Dissident,Radicals / Extremists / Fundamentalists,International Religious,Sikh",6
"Dissident,Separatists,Communist,Ideological",6
"Dissident,Separatists,Oromo,International Ethnic",6
"Dissident,Social,National Ethnic,National Ethnic Minority,Separatists",6
"Dissident,Social,Tamil,Media,International Ethnic,Separatists",6
"Dissident,Sunni,Muslim,International Religious,Separatists",6
"Dissident,Sunni,Rebel,International Religious,Elite",6
"Drugs Ministry,Food Ministry,Government,Executive",6
"Education,Elite,Social,Government,Cabinet,Executive,Defense / Security Ministry",6
"Education,Foreign Ministry,Social,Executive,Government",6
"Education,Intelligence Ministry,Social,Government,Executive,Cabinet,Elite,Interior / Home Ministry",6
"Education,International Government Organization,Executive,Elite,Social,Regional Diplomatic IGOs,Regional,Government",6
"Education,Medical / Health NGOs,Social,Nongovernmental Organizations / Activists",6
"Education,Regional Diplomatic IGOs,Regional,International Government Organization,Social",6
"Elite,Agriculture / Fishing / Forestry Ministry,Government,Cabinet,Executive",6
"Elite,Army,Defense / Security Ministry,Executive,Cabinet,Executive Office,Government,Military,International Ethnic,Nubian",6
"Elite,Army,Government,Military",6
"Elite,Cabinet,Executive,Government,Interior / Home Ministry",6
"Elite,Cabinet,Government,Foreign Ministry,Executive",6
"Elite,Consulting / Financial Services Business,Business NGOs,Business,Executive Office,Government,Executive,Social,Nongovernmental Organizations / Activists",6
"Elite,Defense / Security Ministry,Executive Office,Cabinet,Executive,Government",6
"Elite,Defense / Security Ministry,Executive,Government,Military",6
"Elite,Defense / Security Ministry,Government,Cabinet,Executive,Executive Office",6
"Elite,Defense / Security Ministry,Sunni,Executive Office,Government,Executive,Military,International Religious",6
"Elite,Education,International Government Organization,Regional Diplomatic IGOs,Social,Executive,Government,Regional",6
"Elite,Executive Office,Executive,Center Right,Ideological,Government",6
"Elite,Executive Office,Executive,Government,Local,Provincial",6
"Elite,Executive Office,Government,Executive,International Religious,Sunni",6
"Elite,Executive Office,Government,Legislative / Parliamentary,Executive,Lower House",6
"Elite,Executive,Executive Office,Government,Foreign Ministry",6
"Elite,Executive,Executive Office,Government,International Religious,Muslim",6
"Elite,Executive,Executive Office,Government,Legislative / Parliamentary,Lower House",6
"Elite,Executive,Executive Office,Ideological,Nationalist,Government",6
"Elite,Executive,Foreign Ministry,Government,Defense / Security Ministry",6
"Elite,Executive,Government,Executive Office,International Religious,Orthodox",6
"Elite,Executive,Government,Executive Office,Lower House,Legislative / Parliamentary",6
"Elite,Executive,Government,Lower House,Legislative / Parliamentary,Defense / Security Ministry",6
"Elite,Executive,Upper House,Government,Legislative / Parliamentary,Executive Office",6
"Elite,Finance / Economy / Commerce / Trade Ministry,Cabinet,Executive,Government",6
"Elite,Finance / Economy / Commerce / Trade Ministry,Executive Office,Military,Government,International Religious,Executive,Defense / Security Ministry,Muslim",6
"Elite,Foreign Ministry,Government,Unicameral,Cabinet,Legislative / Parliamentary,Executive",6
"Elite,Government,Cabinet,Executive,Legislative / Parliamentary,Foreign Ministry,Unicameral",6
"Elite,Government,Cabinet,Interior / Home Ministry,Intelligence Ministry,Education,Executive,Social",6
"Elite,Government,Centrist,Legislative / Parliamentary,Ideological,Lower House",6
"Elite,Government,Executive Office,Cabinet,Executive,Defense / Security Ministry",6
"Elite,Government,Executive Office,Foreign Ministry,Executive",6
"Elite,Government,Executive Office,International Religious,Sunni,Executive",6
"Elite,Government,Executive,Cabinet,Executive Office,Defense / Security Ministry",6
"Elite,Government,Executive,Catholic,Executive Office,International Religious",6
